ID Geography,Geography,Population (2018)
05000US21111,"Jefferson County, KY",770517
05000US48183,"Gregg County, TX",123707
05000US21093,"Hardin County, KY",110356
05000US12113,"Santa Rosa County, FL",179349
05000US21067,"Fayette County, KY",323780
05000US48187,"Guadalupe County, TX",163694
05000US21059,"Daviess County, KY",101104
05000US12115,"Sarasota County, FL",426718
05000US51510,"Alexandria city, VA",160530
05000US21047,"Christian County, KY",71671
05000US48201,"Harris County, TX",4698619
05000US21037,"Campbell County, KY",93152
05000US12117,"Seminole County, FL",467832
05000US21029,"Bullitt County, KY",81069
05000US48203,"Harrison County, TX",66726
05000US21015,"Boone County, KY",131533
05000US12119,"Sumter County, FL",128754
05000US51199,"York County, VA",67846
05000US20209,"Wyandotte County, KS",165324
05000US48209,"Hays County, TX",222631
05000US20177,"Shawnee County, KS",177499
05000US12127,"Volusia County, FL",547538
05000US20173,"Sedgwick County, KS",513607
05000US48213,"Henderson County, TX",82299
05000US12131,"Walton County, FL",71375
05000US20161,"Riley County, KS",73703
05000US20103,"Leavenworth County, KS",81352
05000US48215,"Hidalgo County, TX",865939
05000US13013,"Barrow County, GA",80809
05000US51179,"Stafford County, VA",149960
05000US20091,"Johnson County, KS",597555
05000US20045,"Douglas County, KS",121436
05000US48231,"Hunt County, TX",96493
05000US13015,"Bartow County, GA",106408
05000US20015,"Butler County, KS",66765
05000US19193,"Woodbury County, IA",102539
05000US48245,"Jefferson County, TX",255001
05000US13021,"Bibb County, GA",153095
05000US51177,"Spotsylvania County, VA",134238
05000US19169,"Story County, IA",98105
05000US19163,"Scott County, IA",173283
05000US48251,"Johnson County, TX",171361
05000US13031,"Bulloch County, GA",77296
05000US19155,"Pottawattamie County, IA",93533
05000US19153,"Polk County, IA",487204
05000US48257,"Kaufman County, TX",128622
05000US13045,"Carroll County, GA",118121
05000US51165,"Rockingham County, VA",81244
05000US19113,"Linn County, IA",225909
05000US19103,"Johnson County, IA",151260
05000US48291,"Liberty County, TX",86323
05000US13047,"Catoosa County, GA",67420
05000US19061,"Dubuque County, IA",96854
05000US19049,"Dallas County, IA",90180
05000US48303,"Lubbock County, TX",307412
05000US13051,"Chatham County, GA",289195
05000US51161,"Roanoke County, VA",94073
05000US19013,"Black Hawk County, IA",132408
05000US18177,"Wayne County, IN",65936
05000US48309,"McLennan County, TX",254607
05000US13057,"Cherokee County, GA",254149
05000US18167,"Vigo County, IN",107386
05000US18163,"Vanderburgh County, IN",180974
05000US48329,"Midland County, TX",172578
05000US13059,"Clarke County, GA",127330
05000US51153,"Prince William County, VA",468011
